Experiment,16,64,256,1024
o1.callgrind.mpicc.nas.bt,5.58,27.53,114.95,460.88
o1.callgrind.mpicc.nas.cg,5.29,26.09,108.46,438.95
o1.callgrind.mpicc.nas.ep,5.08,24.35,100.20,401.72
o1.callgrind.mpicc.nas.ft,5.70,28.33,118.43,454.96
o1.callgrind.mpicc.nas.is,5.24,26.84,107.72,428.93
o1.callgrind.mpicc.nas.lu,5.73,28.13,116.87,470.19
o1.callgrind.mpicc.nas.mg,5.73,28.42,117.11,469.85
o1.callgrind.mpicc.nas.sp,5.54,27.45,114.36,457.67
o1.npinAll.mpicc.nas.bt,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.cg,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.ep,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.ft,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.is,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.lu,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.mg,0.00,0.00,0.00,0.00
o1.npinAll.mpicc.nas.sp,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.bt,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.cg,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.ep,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.ft,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.is,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.lu,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.mg,0.00,0.00,0.00,0.00
o1.npinMain.mpicc.nas.sp,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.bt,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.cg,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.ep,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.ft,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.is,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.lu,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.mg,0.00,0.00,0.00,0.00
o1.orig.mpicc.nas.sp,0.00,0.00,0.00,0.00
o1.orig.scorep.nas.bt,11.97,97.73,789.05,6436.53
o1.orig.scorep.nas.cg,26.90,153.30,796.72,3945.25
o1.orig.scorep.nas.ep,0.11,0.16,0.36,1.16
o1.orig.scorep.nas.ft,0.14,0.29,0.86,4.24
o1.orig.scorep.nas.is,0.14,0.27,0.79,2.87
o1.orig.scorep.nas.lu,159.56,744.82,3192.24,13119.59
o1.orig.scorep.nas.mg,6.40,24.87,90.21,332.87
o1.orig.scorep.nas.sp,20.66,165.95,1332.46,10926.67
o1.orig.tau.nas.bt,62.56,518.79,4223.38,34079.51
o1.orig.tau.nas.cg,164.03,937.58,4876.08,24007.48
o1.orig.tau.nas.ep,0.10,0.41,1.64,6.58
o1.orig.tau.nas.ft,0.24,0.97,3.88,21.14
o1.orig.tau.nas.is,0.26,1.05,4.21,16.81
o1.orig.tau.nas.lu,891.66,4160.89,17832.04,73705.08
o1.orig.tau.nas.mg,37.95,149.27,543.60,1986.82
o1.orig.tau.nas.sp,108.65,885.75,7152.02,57480.97
o1.pinAll.mpicc.nas.bt,24.60,112.53,387.41,1697.26
o1.pinAll.mpicc.nas.cg,16.93,88.65,431.27,2517.38
o1.pinAll.mpicc.nas.ep,11.40,41.46,162.31,659.48
o1.pinAll.mpicc.nas.ft,11.07,54.76,302.21,1043.12
o1.pinAll.mpicc.nas.is,9.72,44.21,195.78,1266.26
o1.pinAll.mpicc.nas.lu,26.75,124.96,532.77,2398.52
o1.pinAll.mpicc.nas.mg,11.99,51.92,212.59,933.12
o1.pinAll.mpicc.nas.sp,24.35,115.72,560.06,1824.23
o1.pinMain.mpicc.nas.bt,2.20,16.64,80.74,392.56
o1.pinMain.mpicc.nas.cg,0.24,16.89,88.03,437.77
o1.pinMain.mpicc.nas.ep,1.63,2.07,3.91,11.40
o1.pinMain.mpicc.nas.ft,0.70,2.77,26.41,110.34
o1.pinMain.mpicc.nas.is,0.04,0.96,6.64,104.39
o1.pinMain.mpicc.nas.lu,1.03,44.28,173.88,718.17
o1.pinMain.mpicc.nas.mg,0.49,4.72,17.70,50.42
o1.pinMain.mpicc.nas.sp,1.22,26.73,120.66,367.00
o1.tau_exec.mpicc.nas.bt,62.74,519.54,4226.39,34091.61
o1.tau_exec.mpicc.nas.cg,164.20,938.24,4878.71,24018.00
o1.tau_exec.mpicc.nas.ep,0.25,1.00,4.00,16.00
o1.tau_exec.mpicc.nas.ft,0.40,1.60,6.41,31.26
o1.tau_exec.mpicc.nas.is,0.43,1.74,6.95,27.86
o1.tau_exec.mpicc.nas.lu,891.83,4161.57,17834.76,73715.96
o1.tau_exec.mpicc.nas.mg,38.12,149.95,546.30,1997.60
o1.tau_exec.mpicc.nas.sp,108.83,886.47,7154.94,57492.62
